# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 11 12:33:36 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,rastr,ra,decstr,dec,sy_dist,sy_bmag,sy_vmag
Kepler-186 f,Kepler-186,1,1,5,Transit,2014,129.94410000,0.432000,1.170,0.104,,,,0.040000,0.30,,,3755.00,0.52,0.54,-0.260,[Fe/H],4.74,4.000,19h54m36.66s,298.6527360,+43d57m17.96s,43.9549884,177.5940000,16.8670000,15.1380000
Kepler-1860 b,Kepler-1860,1,1,1,Transit,2021,12.73719978,,1.139,0.102,,,,,,,,5420.00,0.87,0.87,0.000,[Fe/H],4.50,,19h37m24.20s,294.3508497,+50d04m51.47s,50.0809627,438.7030000,14.3910000,13.5690000
Kepler-1861 b,Kepler-1861,1,1,1,Transit,2021,40.03060150,,2.207,0.197,,,,,,,,5855.00,1.37,1.16,0.260,[Fe/H],4.23,,19h43m23.16s,295.8465148,+49d56m10.17s,49.9361586,829.9850000,14.2860000,13.7090000
Kepler-1862 b,Kepler-1862,1,1,1,Transit,2021,16.05730057,,2.203,0.197,,,,,,,,5644.00,0.81,0.90,-0.240,[Fe/H],4.58,,19h47m00.81s,296.7533555,+49d22m41.06s,49.3780726,1232.1900000,16.2330000,15.8470000
Kepler-1863 b,Kepler-1863,1,1,1,Transit,2021,44.99760056,,2.263,0.202,,,,,,,,5871.00,0.98,1.10,0.210,[Fe/H],4.49,,18h48m57.53s,282.2397185,+43d14m38.71s,43.2440854,865.5460000,14.1210000,13.6400000
Kepler-1864 b,Kepler-1864,1,1,1,Transit,2021,3.88151002,,0.754,0.067,,,,,,,,5854.00,0.98,1.03,0.060,[Fe/H],4.47,,19h18m44.82s,289.6867653,+41d35m20.10s,41.5889178,298.8940000,12.7370000,12.1230000
Kepler-1865 b,Kepler-1865,1,1,1,Transit,2021,2.52400994,,1.577,0.141,,,,,,,,5420.00,0.87,0.85,-0.060,[Fe/H],4.49,,19h35m45.90s,293.9412380,+41d35m25.49s,41.5904136,922.2550000,16.8520000,15.4680000
Kepler-1866 b,Kepler-1866,1,1,1,Transit,2021,11.66009998,,2.082,0.186,,,,,,,,5791.00,1.08,1.03,0.160,[Fe/H],4.38,,19h04m53.91s,286.2246453,+44d39m16.15s,44.6544869,976.7370000,15.3800000,14.4180000
Kepler-1867 b,Kepler-1867,1,1,1,Transit,2021,9.88735962,,1.160,0.103,,,,,,,,5693.00,0.82,0.91,-0.240,[Fe/H],4.57,,19h39m59.30s,294.9971007,+43d26m09.13s,43.4358698,680.5830000,14.3800000,13.5490000
Kepler-1868 b,Kepler-1868,1,1,1,Transit,2021,211.03399660,,3.150,0.281,,,,,,,,4658.00,0.69,0.74,0.000,[Fe/H],4.63,,19h33m11.61s,293.2983733,+43d33m20.89s,43.5558025,274.1800000,15.3170000,14.1570000
Kepler-1869 b,Kepler-1869,1,1,2,Transit,2021,8.16736031,,1.120,0.100,,,,,,,,5808.00,0.90,0.99,-0.060,[Fe/H],4.52,,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,10.9570000,10.3100000
Kepler-1869 c,Kepler-1869,1,1,2,Transit,2023,1.71682830,0.028000,0.740,,,,,0.000000,1056.84,1455,,5808.00,0.90,0.99,-0.060,[Fe/H],4.52,,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,10.9570000,10.3100000
Kepler-187 b,Kepler-187,1,1,2,Transit,2014,4.93886400,0.059000,1.410,0.126,,,,,,,,6105.00,1.29,,,,4.27,,19h59m11.16s,299.7964955,+44d05m21.28s,44.0892448,1143.0000000,15.0010000,14.2970000
Kepler-187 c,Kepler-187,1,1,2,Transit,2014,10.64026300,0.099000,2.670,0.238,,,,,,,,6105.00,1.29,,,,4.27,,19h59m11.16s,299.7964955,+44d05m21.28s,44.0892448,1143.0000000,15.0010000,14.2970000
Kepler-1870 b,Kepler-1870,1,1,1,Transit,2021,3.60694003,,2.101,0.187,,,,,,,,5508.00,0.84,0.95,0.070,[Fe/H],4.57,,19h35m44.04s,293.9335076,+40d35m26.53s,40.5907040,407.2160000,14.4680000,13.5660000
Kepler-1871 b,Kepler-1871,1,1,1,Transit,2021,1.95270002,,2.422,0.216,,,,,,,,5741.00,0.95,1.02,0.120,[Fe/H],4.50,,19h29m42.60s,292.4275044,+38d28m22.38s,38.4728824,854.6230000,15.1680000,14.8220000
Kepler-1872 b,Kepler-1872,1,1,1,Transit,2021,3.82591009,,2.384,0.213,,,,,,,,5223.00,0.89,0.91,0.320,[Fe/H],4.50,,18h44m11.81s,281.0491988,+43d19m21.36s,43.3225996,840.1820000,17.2470000,15.9660000
Kepler-1873 b,Kepler-1873,1,1,1,Transit,2021,0.55884200,,1.626,0.145,,,,,,,,5151.00,0.79,0.90,0.210,[Fe/H],4.59,,19h38m23.17s,294.5965570,+46d02m54.13s,46.0483705,820.9570000,16.3240000,15.8890000
Kepler-1874 b,Kepler-1874,1,1,1,Transit,2021,56.57320023,,2.211,0.197,,,,,,,,4701.00,0.78,0.76,0.240,[Fe/H],4.54,,19h05m29.24s,286.3718158,+43d41m31.49s,43.6920810,408.0070000,16.4360000,15.4340000
Kepler-1875 b,Kepler-1875,1,1,1,Transit,2021,34.45859909,,3.227,0.288,,,,,,,,6161.00,0.86,0.95,-0.500,[Fe/H],4.54,,19h47m05.46s,296.7727406,+50d11m18.12s,50.1883667,1660.4500000,15.5590000,15.2010000
Kepler-1876 b,Kepler-1876,1,1,1,Transit,2021,6.99205000,0.075800,0.853,0.076,2.40000,0.00755,Mass,0.098000,475.00,1299,,6104.00,1.48,1.19,0.010,[Fe/H],,4.400,19h56m38.52s,299.1604859,+41d08m37.67s,41.1437964,259.9350000,11.4440000,10.7930000
Kepler-1877 b,Kepler-1877,1,1,1,Transit,2021,2.37756991,,0.624,0.056,,,,,,,,5615.00,0.94,1.02,0.240,[Fe/H],4.50,,19h39m28.06s,294.8669240,+46d47m25.73s,46.7904816,285.3120000,13.2160000,12.2900000
Kepler-1878 b,Kepler-1878,1,1,1,Transit,2021,4.44587994,,2.920,0.261,,,,,,,,5918.00,0.86,0.96,-0.260,[Fe/H],4.54,,20h02m55.78s,300.7324154,+44d06m25.28s,44.1070231,1494.3000000,16.9260000,15.5870000
Kepler-1879 b,Kepler-1879,1,1,1,Transit,2021,10.61340046,,2.065,0.184,,,,,,,,5865.00,1.39,1.02,0.000,[Fe/H],4.16,,19h17m27.46s,289.3644209,+41d31m59.73s,41.5332589,627.1710000,13.4930000,12.8250000
Kepler-188 b,Kepler-188,1,1,2,Transit,2014,2.06189700,0.032000,1.680,0.150,,,,,,,,6021.00,1.14,,,,4.35,,18h45m07.13s,281.2797173,+44d18m55.71s,44.3154743,968.5440000,15.5990000,14.7190000
Kepler-188 c,Kepler-188,1,1,2,Transit,2014,5.99655300,0.066000,3.190,0.285,,,,,,,,6021.00,1.14,,,,4.35,,18h45m07.13s,281.2797173,+44d18m55.71s,44.3154743,968.5440000,15.5990000,14.7190000
Kepler-1880 b,Kepler-1880,1,1,1,Transit,2021,6.30921984,,2.117,0.189,,,,,,,,4380.00,0.53,0.52,-0.920,[Fe/H],4.71,,19h11m18.35s,287.8264561,+40d41m47.76s,40.6965988,611.0410000,17.4080000,16.0880000
Kepler-1881 b,Kepler-1881,1,1,1,Transit,2021,159.39399720,,2.981,0.266,,,,,,,,5135.00,0.87,0.81,0.120,[Fe/H],4.46,,19h34m33.43s,293.6393065,+44d58m57.16s,44.9825447,1057.2100000,16.8920000,15.8980000
Kepler-1882 b,Kepler-1882,1,1,1,Transit,2021,13.78730011,,1.487,0.133,,,,,,,,5691.00,1.46,1.07,0.260,[Fe/H],4.14,,19h22m39.38s,290.6640856,+43d29m59.23s,43.4997866,443.3710000,13.2420000,12.5160000
Kepler-1883 b,Kepler-1883,1,1,1,Transit,2021,103.42700200,,3.251,0.290,,,,,,,,6208.00,1.02,1.09,-0.120,[Fe/H],4.45,,19h27m41.41s,291.9225570,+42d00m09.08s,42.0025220,1377.6100000,16.5130000,15.6420000
Kepler-1884 b,Kepler-1884,1,1,1,Transit,2021,8.98832035,,1.814,0.162,,,,,,,,5984.00,0.91,0.99,-0.200,[Fe/H],4.52,,19h46m59.14s,296.7463986,+43d02m43.51s,43.0454207,1443.0900000,16.0300000,15.4330000
Kepler-1885 b,Kepler-1885,1,1,1,Transit,2021,2.52255988,,1.511,0.135,,,,,,,,5591.00,0.86,0.98,0.070,[Fe/H],4.56,,19h15m00.17s,288.7507112,+47d29m27.31s,47.4909206,818.4820000,15.7960000,14.8510000
Kepler-1886 b,Kepler-1886,1,1,1,Transit,2021,24.27580070,,2.582,0.230,,,,,,,,5745.00,0.84,0.93,-0.200,[Fe/H],4.56,,19h45m03.48s,296.2645118,+39d24m21.51s,39.4059745,1059.5100000,15.1110000,15.6270000
Kepler-1887 b,Kepler-1887,1,1,1,Transit,2021,19.94750023,,2.925,0.261,,,,,,,,5749.00,0.86,0.96,-0.100,[Fe/H],4.55,,19h15m49.33s,288.9555263,+44d42m20.55s,44.7057070,1366.1800000,17.1750000,15.9550000
Kepler-1888 b,Kepler-1888,1,1,1,Transit,2021,11.39169979,,1.326,0.118,,,,,,,,5557.00,1.25,0.90,0.000,[Fe/H],4.20,,19h17m34.69s,289.3945523,+41d46m56.13s,41.7822597,402.9470000,13.0480000,12.0990000
Kepler-1889 b,Kepler-1889,1,1,1,Transit,2021,37.30369949,,2.944,0.263,,,,,,,,5646.00,0.82,0.86,-0.280,[Fe/H],4.55,,19h48m47.82s,297.1992577,+41d13m35.19s,41.2264404,1395.1300000,17.0390000,15.7150000
Kepler-189 b,Kepler-189,1,1,2,Transit,2014,10.39993100,0.088000,1.210,0.108,,,,,,,,5235.00,0.75,,,,4.62,,19h10m15.51s,287.5646296,+44d18m18.24s,44.3050662,591.5340000,16.1130000,14.9710000
Kepler-189 c,Kepler-189,1,1,2,Transit,2014,20.13486600,0.137000,2.380,0.212,,,,,,,,5235.00,0.75,,,,4.62,,19h10m15.51s,287.5646296,+44d18m18.24s,44.3050662,591.5340000,16.1130000,14.9710000
Kepler-1890 b,Kepler-1890,1,1,1,Transit,2021,4.82059002,,0.869,0.077,,,,,,,,6046.00,1.40,1.02,-0.160,[Fe/H],4.16,,19h30m18.68s,292.5778203,+40d40m04.45s,40.6679032,529.5960000,13.4240000,12.9160000
Kepler-1891 b,Kepler-1891,1,1,1,Transit,2021,4.02229023,,1.521,0.136,,,,,,,,5516.00,0.83,0.87,-0.140,[Fe/H],4.54,,19h20m10.52s,290.0438524,+44d22m13.93s,44.3705375,596.2400000,15.4290000,14.4120000
Kepler-1892 b,Kepler-1892,1,1,1,Transit,2021,6.33123016,,1.837,0.164,,,,,,,,5383.00,0.76,0.85,-0.220,[Fe/H],4.60,,19h56m19.44s,299.0810070,+42d01m05.14s,42.0180957,851.5950000,17.0660000,15.5920000
Kepler-1893 b,Kepler-1893,1,1,1,Transit,2021,4.17936993,,1.706,0.152,,,,,,,,5633.00,1.16,0.97,0.160,[Fe/H],4.30,,19h53m36.31s,298.4012866,+44d50m17.42s,44.8381709,1050.7200000,16.1930000,15.1520000
Kepler-1894 b,Kepler-1894,1,1,2,Transit,2021,2.76266003,,1.201,0.107,,,,,,,,5772.00,0.90,1.00,0.000,[Fe/H],4.53,,19h42m20.75s,295.5864604,+49d40m00.67s,49.6668523,935.1910000,14.6670000,15.4520000
Kepler-1894 c,Kepler-1894,1,1,2,Transit,2023,5.05368985,0.057600,1.210,,,,,0.000000,243.06,1007,,5772.00,0.90,1.00,0.000,[Fe/H],4.53,,19h42m20.75s,295.5864604,+49d40m00.67s,49.6668523,935.1910000,14.6670000,15.4520000
Kepler-1895 b,Kepler-1895,1,1,1,Transit,2021,6.07029009,,2.119,0.189,,,,,,,,5076.00,0.76,0.86,0.100,[Fe/H],4.60,,19h26m42.14s,291.6756005,+48d45m45.15s,48.7625419,984.1870000,16.8410000,15.7870000
Kepler-1896 b,Kepler-1896,1,1,1,Transit,2021,44.87020111,,3.099,0.277,,,,,,,,6122.00,1.00,1.07,-0.100,[Fe/H],4.47,,19h18m42.86s,289.6785786,+40d14m58.73s,40.2496475,1732.9100000,16.5480000,15.8440000
Kepler-1897 b,Kepler-1897,1,1,1,Transit,2021,24.22030067,,2.814,0.251,,,,,,,,5165.00,0.76,0.86,0.020,[Fe/H],4.60,,19h37m09.63s,294.2901043,+39d07m36.74s,39.1268710,983.1740000,16.1450000,16.0100000
Kepler-1898 b,Kepler-1898,1,1,1,Transit,2021,4.76562023,,0.934,0.083,,,,,,,,5702.00,1.12,0.84,-0.280,[Fe/H],4.26,,19h08m49.39s,287.2058009,+38d29m53.49s,38.4981903,360.9210000,14.2130000,13.3870000
Kepler-1899 b,Kepler-1899,1,1,1,Transit,2021,4.09577990,,1.551,0.138,,,,,,,,4791.00,0.74,0.76,0.070,[Fe/H],4.58,,19h28m08.01s,292.0333777,+37d58m28.04s,37.9744551,711.5090000,17.3900000,16.1360000
Kepler-19 b,Kepler-19,1,1,3,Transit,2011,9.28699000,0.084600,2.209,0.197,6.10000,0.01919,Mass,0.410000,87.60,851,,5541.00,0.86,0.94,-0.130,[Fe/H],,1.900,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.5620000,12.8780000,12.0350000
Kepler-19 c,Kepler-19,1,1,3,Transit Timing Variations,2011,28.73100000,,,,13.10000,0.04122,Mass,0.210000,,,,5544.00,0.86,0.94,-0.080,[Fe/H],4.51,1.900,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.5620000,12.8780000,12.0350000
Kepler-19 d,Kepler-19,1,1,3,Radial Velocity,2017,62.95000000,,,,22.50000,0.07079,Mass,0.050000,,,,5544.00,0.86,0.94,-0.080,[Fe/H],4.51,1.900,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.5620000,12.8780000,12.0350000
Kepler-190 b,Kepler-190,1,1,2,Transit,2014,2.01999900,0.030000,1.560,0.139,,,,,,,,5106.00,0.80,,,,4.56,,19h14m20.15s,288.5839761,+44d44m01.57s,44.7337701,433.3870000,15.4230000,14.3360000
Kepler-190 c,Kepler-190,1,1,2,Transit,2014,3.76302400,0.045000,1.460,0.130,,,,,,,,5106.00,0.80,,,,4.56,,19h14m20.15s,288.5839761,+44d44m01.57s,44.7337701,433.3870000,15.4230000,14.3360000
Kepler-1900 b,Kepler-1900,1,1,1,Transit,2021,2.98622990,,1.623,0.145,,,,,,,,6173.00,1.04,1.10,-0.040,[Fe/H],4.45,,19h27m32.72s,291.8863206,+44d28m44.51s,44.4790319,1540.4300000,16.3240000,15.5020000
Kepler-1901 b,Kepler-1901,1,1,1,Transit,2021,3.48412991,,1.474,0.132,,,,,,,,5696.00,0.92,1.02,0.140,[Fe/H],4.52,,19h24m39.45s,291.1643587,+45d19m05.90s,45.3183061,1028.3700000,15.8900000,15.0970000
Kepler-1902 b,Kepler-1902,1,1,1,Transit,2021,3.82222009,,1.176,0.105,,,,,,,,3729.00,0.51,0.52,0.060,[Fe/H],4.73,,19h30m57.04s,292.7376545,+42d00m53.21s,42.0147792,344.3370000,17.4230000,16.1130000
Kepler-1903 b,Kepler-1903,1,1,1,Transit,2021,17.06789970,,2.286,0.204,,,,,,,,6347.00,1.00,1.05,-0.340,[Fe/H],4.46,,19h23m33.19s,290.8882981,+51d14m53.38s,51.2481617,1775.4400000,15.9800000,15.4560000
Kepler-1904 b,Kepler-1904,1,1,1,Transit,2021,4.57702017,,1.390,0.124,,,,,,,,3805.00,0.50,0.53,-0.100,[Fe/H],4.77,,19h15m29.86s,288.8744026,+51d09m15.20s,51.1542215,270.8540000,18.5720000,16.3670000
Kepler-1905 b,Kepler-1905,1,1,1,Transit,2021,3.42392993,,1.446,0.129,,,,,,,,5788.00,1.01,1.04,0.160,[Fe/H],4.44,,19h30m17.60s,292.5733475,+46d22m00.58s,46.3668273,1051.5300000,15.9640000,15.0860000
Kepler-1906 b,Kepler-1906,1,1,1,Transit,2021,7.36268997,,2.776,0.248,,,,,,,,5868.00,0.89,0.99,-0.120,[Fe/H],4.53,,19h35m18.39s,293.8266166,+38d51m23.73s,38.8565906,1360.6300000,15.4310000,15.3220000
Kepler-1907 b,Kepler-1907,1,1,2,Transit,2021,5.65245008,,0.870,0.078,,,,,,,,5159.00,0.80,0.75,-0.160,[Fe/H],4.51,,18h42m50.06s,280.7085829,+47d19m40.52s,47.3279236,292.1110000,14.9240000,13.9890000
Kepler-1907 c,Kepler-1907,1,1,2,Transit,2021,14.86390018,,1.155,0.103,,,,,,,,5159.00,0.80,0.75,-0.160,[Fe/H],4.51,,18h42m50.06s,280.7085829,+47d19m40.52s,47.3279236,292.1110000,14.9240000,13.9890000
Kepler-1909 b,Kepler-1909,1,1,1,Transit,2021,2.39160991,,1.092,0.097,,,,,,,,4935.00,0.69,0.66,-0.420,[Fe/H],4.59,,19h23m33.46s,290.8894090,+42d27m34.65s,42.4596251,763.6620000,16.9940000,15.9330000
Kepler-191 b,Kepler-191,1,1,3,Transit,2014,9.93963200,0.087000,1.340,0.120,,,,,,,,5282.00,0.79,,,,4.59,,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.4640000,15.8840000,14.9870000
Kepler-191 c,Kepler-191,1,1,3,Transit,2014,17.73850600,0.128000,1.860,0.166,,,,,,,,5282.00,0.79,,,,4.59,,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.4640000,15.8840000,14.9870000
Kepler-191 d,Kepler-191,1,1,3,Transit,2016,5.94504102,,2.280,0.203,,,,,,,,5215.00,0.80,0.84,-0.050,[Fe/H],4.56,4.900,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.4640000,15.8840000,14.9870000
Kepler-1910 b,Kepler-1910,1,1,1,Transit,2021,5.68876982,,1.184,0.106,,,,,,,,4234.00,0.64,0.64,-0.020,[Fe/H],4.63,,19h46m28.12s,296.6171677,+41d16m52.20s,41.2811677,,17.5300000,16.0920000
Kepler-1911 b,Kepler-1911,1,1,1,Transit,2021,5.99079990,,1.011,0.090,,,,,,,,5721.00,0.97,0.95,0.000,[Fe/H],4.44,,19h57m12.85s,299.3035590,+41d26m27.68s,41.4410233,269.9120000,12.9700000,12.2450000
Kepler-1912 b,Kepler-1912,1,1,1,Transit,2021,6.05921984,,1.357,0.121,,,,,,,,5734.00,0.96,0.98,0.040,[Fe/H],4.46,,18h48m28.28s,282.1178211,+46d13m26.24s,46.2239547,297.0170000,13.5690000,12.3600000
Kepler-1913 b,Kepler-1913,1,1,1,Transit,2021,14.19600010,,1.519,0.135,,,,,,,,6214.00,1.08,1.17,0.070,[Fe/H],4.44,,19h20m52.01s,290.2166890,+44d46m46.51s,44.7795863,876.3000000,15.5930000,14.8140000
Kepler-1914 b,Kepler-1914,1,1,1,Transit,2021,30.82789993,,2.943,0.263,,,,,,,,5982.00,0.96,1.05,-0.040,[Fe/H],4.49,,19h25m43.54s,291.4314024,+38d39m15.71s,38.6543635,1621.5600000,16.0060000,15.9110000
Kepler-1915 b,Kepler-1915,1,1,1,Transit,2021,13.83539963,,3.218,0.287,,,,,,,,6020.00,1.06,1.03,-0.060,[Fe/H],4.40,,20h05m06.88s,301.2786852,+44d15m01.84s,44.2505116,1514.6600000,17.3340000,16.2610000
Kepler-1916 b,Kepler-1916,1,1,1,Transit,2021,31.25429916,,2.618,0.234,,,,,,,,6246.00,1.09,1.18,0.070,[Fe/H],4.43,,19h32m16.94s,293.0705754,+48d23m15.64s,48.3876790,2055.8200000,16.4410000,15.7790000
Kepler-1917 b,Kepler-1917,1,1,1,Transit,2021,12.90240002,,1.890,0.169,,,,,,,,5530.00,0.79,0.88,-0.220,[Fe/H],4.59,,19h36m24.93s,294.1038932,+45d00m04.87s,45.0013533,909.0370000,15.7310000,15.4740000
Kepler-1918 b,Kepler-1918,1,1,1,Transit,2021,47.05640030,,2.298,0.205,,,,,,,,5889.00,0.92,0.97,-0.160,[Fe/H],4.49,,19h30m07.33s,292.5305460,+42d12m52.48s,42.2145765,1030.1100000,16.3380000,15.5330000
Kepler-1919 b,Kepler-1919,1,1,1,Transit,2021,37.88660049,,2.624,0.234,,,,,,,,5513.00,0.82,0.87,-0.160,[Fe/H],4.55,,18h52m31.66s,283.1319153,+43d57m21.62s,43.9560050,1177.5300000,16.8430000,16.1610000
Kepler-192 b,Kepler-192,1,1,3,Transit,2014,9.92674600,0.090000,2.740,0.244,,,,,,,,5479.00,1.01,,,,4.43,,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.6740000,15.2370000,14.3080000
Kepler-192 c,Kepler-192,1,1,3,Transit,2014,21.22340000,0.150000,2.790,0.249,,,,,,,,5479.00,1.01,,,,4.43,,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.6740000,15.2370000,14.3080000
Kepler-192 d,Kepler-192,1,1,3,Transit,2016,6.47027579,,1.020,0.091,,,,,,,,5487.00,0.94,0.94,0.130,[Fe/H],4.46,6.760,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.6740000,15.2370000,14.3080000
Kepler-1920 b,Kepler-1920,1,1,1,Transit,2021,30.25410080,,2.954,0.264,,,,,,,,6277.00,1.16,1.24,0.210,[Fe/H],4.40,,19h24m14.89s,291.0620355,+38d51m47.84s,38.8632881,885.9130000,15.1760000,14.3920000
Kepler-1921 b,Kepler-1921,1,1,2,Transit,2021,20.03479958,,2.895,0.258,,,,,,,,6120.00,2.00,1.25,0.020,[Fe/H],3.93,,20h01m15.88s,300.3161723,+45d29m43.18s,45.4953271,928.9890000,13.9050000,13.1030000
Kepler-1921 c,Kepler-1921,1,1,2,Transit,2023,3.15722086,0.045400,1.410,,,,,0.000000,2436.47,1791,,6120.00,2.00,1.25,0.020,[Fe/H],3.93,,20h01m15.88s,300.3161723,+45d29m43.18s,45.4953271,928.9890000,13.9050000,13.1030000
Kepler-1922 b,Kepler-1922,1,1,1,Transit,2021,13.22259998,,2.291,0.204,,,,,,,,5931.00,0.86,0.95,-0.280,[Fe/H],4.54,,19h29m19.29s,292.3303706,+37d59m49.45s,37.9970696,1344.2900000,15.3850000,15.3880000
Kepler-1923 b,Kepler-1923,1,1,1,Transit,2021,52.60969925,,1.960,0.175,,,,,,,,5881.00,1.29,1.11,0.160,[Fe/H],4.26,,19h52m20.03s,298.0834457,+40d20m46.52s,40.3462551,990.8380000,15.4760000,14.4540000
Kepler-1924 b,Kepler-1924,1,1,1,Transit,2021,15.33170033,,2.654,0.237,,,,,,,,5726.00,1.28,1.02,0.160,[Fe/H],4.23,,19h35m04.17s,293.7673860,+42d49m44.96s,42.8291562,1910.7700000,15.8170000,15.0840000
Kepler-1925 b,Kepler-1925,1,1,1,Transit,2021,46.71640015,,3.002,0.268,,,,,,,,5856.00,1.09,1.06,0.160,[Fe/H],4.39,,19h19m18.90s,289.8287452,+45d06m09.68s,45.1026883,1771.3100000,16.1620000,15.3820000
Kepler-1926 b,Kepler-1926,1,1,1,Transit,2021,42.87770081,,2.315,0.207,,,,,,,,5256.00,0.83,0.77,-0.160,[Fe/H],4.48,,19h24m47.71s,291.1987905,+44d09m58.33s,44.1662033,667.4050000,16.4260000,15.8000000
Kepler-1927 b,Kepler-1927,1,1,1,Transit,2021,73.75039673,,3.406,0.304,,,,,,,,6056.00,2.48,1.41,0.140,[Fe/H],3.80,,19h45m25.11s,296.3546093,+41d20m08.05s,41.3355698,1091.0000000,14.0290000,13.3120000
Kepler-1928 b,Kepler-1928,1,1,1,Transit,2021,19.57783000,0.194000,1.992,0.178,,,,0.430000,,,,5720.00,0.92,1.01,0.120,[Fe/H],,0.105,19h21m45.75s,290.4406294,+38d31m24.86s,38.5235721,326.3620000,13.4790000,12.6790000
Kepler-1929 b,Kepler-1929,1,1,1,Transit,2021,59.36249924,,3.073,0.274,,,,,,,,5786.00,1.47,1.01,-0.020,[Fe/H],4.11,,19h58m20.00s,299.5833362,+47d26m53.25s,47.4481244,508.2010000,12.3800000,11.7880000
Kepler-193 b,Kepler-193,1,1,2,Transit,2014,11.38848000,0.106000,2.390,0.213,,,,,,,,6335.00,1.15,,,,4.40,,19h45m59.66s,296.4985951,+46d34m38.09s,46.5772484,1009.1000000,15.4340000,14.7120000
Kepler-193 c,Kepler-193,1,1,2,Transit,2014,50.69749400,0.286000,2.750,0.245,,,,,,,,6335.00,1.15,,,,4.40,,19h45m59.66s,296.4985951,+46d34m38.09s,46.5772484,1009.1000000,15.4340000,14.7120000
Kepler-1930 b,Kepler-1930,1,1,1,Transit,2021,13.02680016,,1.530,0.136,,,,,,,,5083.00,0.84,0.84,0.220,[Fe/H],4.51,,19h50m18.51s,297.5771450,+40d01m39.64s,40.0276768,275.6940000,14.5620000,13.4470000
Kepler-1931 b,Kepler-1931,1,1,1,Transit,2021,38.57609940,,2.653,0.237,,,,,,,,6167.00,1.22,1.17,0.120,[Fe/H],4.33,,19h23m29.35s,290.8723061,+43d19m58.84s,43.3330104,620.0910000,13.2360000,12.6710000
Kepler-1932 b,Kepler-1932,1,1,1,Transit,2021,0.52417702,,1.515,0.135,,,,,,,,5278.00,0.81,0.91,0.140,[Fe/H],4.58,,19h01m19.56s,285.3314903,+41d03m49.84s,41.0638435,713.7330000,16.2440000,15.2860000
Kepler-1933 b,Kepler-1933,1,1,1,Transit,2021,4.94329023,,1.180,0.105,,,,,,,,5661.00,1.01,0.96,0.100,[Fe/H],4.42,,18h55m58.82s,283.9950850,+39d55m01.24s,39.9170121,328.0070000,13.5630000,12.8100000
Kepler-1934 b,Kepler-1934,1,1,1,Transit,2021,1.41975999,,0.913,0.081,,,,,,,,5925.00,1.03,0.97,-0.140,[Fe/H],4.39,,19h23m40.64s,290.9193265,+37d17m13.80s,37.2871677,428.5140000,13.7980000,12.8740000
